N,P,K,temperature,humidity,ph,rainfall,soil_moisture,label
74,50,44,22.0,79.4,6.7,199.6,59,maize
39,49,55,28.1,55.4,6.1,116.2,33,millet
59,47,42,27.3,67.5,6.6,153.0,58,cotton
65,37,65,29.8,75.7,7.0,148.4,60,groundnut
37,52,50,29.8,56.1,6.0,93.3,27,millet
36,51,52,29.5,51.6,6.2,97.0,30,millet
39,55,45,28.8,51.1,6.2,97.0,26,millet
59,48,47,27.3,61.7,6.7,111.9,38,wheat
77,54,61,27.3,85.1,6.3,225.5,77,sugarcane
55,58,40,26.5,67.3,6.9,127.0,38,wheat
74,50,40,24.7,66.2,6.6,139.1,54,maize
39,47,45,28.9,57.4,6.4,92.7,30,millet
74,60,41,24.4,79.3,6.8,136.3,47,maize
41,54,46,31.1,50.6,6.3,105.2,32,millet
50,31,31,26.9,59.7,5.6,89.9,28,barley
43,48,52,28.7,50.3,6.0,89.0,30,millet
48,32,31,27.6,61.4,6.2,106.9,25,barley
77,47,54,25.7,81.9,6.3,240.0,72,sugarcane
50,44,46,27.9,73.5,6.7,131.8,60,cotton
69,53,64,29.6,81.4,6.8,252.2,75,sugarcane
72,54,42,23.3,60.3,6.9,139.0,45,maize
47,32,38,28.0,59.9,6.0,97.5,28,barley
86,59,39,24.0,72.8,6.7,174.2,60,maize
42,55,50,28.8,56.3,6.3,92.5,35,millet
69,54,58,25.2,84.0,6.3,205.0,72,sugarcane
72,41,60,28.4,87.4,6.8,223.9,71,sugarcane
90,48,48,21.9,77.4,6.4,194.7,68,rice
40,45,52,28.6,58.5,6.3,103.4,32,millet
39,48,48,28.4,56.6,6.2,112.6,27,millet
88,60,42,25.9,68.5,6.6,176.6,47,maize
74,47,51,26.9,71.8,6.2,221.2,75,sugarcane
54,45,48,30.9,66.1,6.2,150.0,57,cotton
71,55,41,25.6,61.9,6.6,152.5,48,maize
83,57,52,21.8,78.4,6.1,205.9,77,rice
56,48,50,29.9,66.6,6.2,129.8,58,cotton
83,60,44,21.9,79.0,6.6,193.5,63,rice
74,40,65,28.3,75.9,6.7,146.3,60,groundnut
90,41,41,21.8,78.9,6.5,239.0,75,rice
94,56,60,21.6,77.6,6.0,193.2,73,rice
88,55,40,25.9,69.7,7.0,124.9,60,maize
65,45,53,25.7,86.7,6.8,280.3,76,sugarcane
69,31,55,29.6,71.2,6.9,146.5,58,groundnut
50,54,41,22.1,65.8,6.7,116.5,35,wheat
66,59,47,26.2,55.7,6.7,128.8,35,wheat
89,47,49,22.8,87.8,6.6,246.1,79,rice
71,46,53,29.0,75.6,6.6,278.9,80,sugarcane
56,46,44,27.4,66.2,6.8,169.6,59,cotton
36,47,48,31.5,56.8,6.3,93.1,25,millet
65,34,63,28.4,72.1,6.9,158.9,57,groundnut
75,49,56,25.6,88.6,6.4,284.1,70,sugarcane
55,50,43,25.7,60.8,7.1,107.1,45,wheat
24,27,21,24.8,84.1,6.1,217.6,74,pulses
52,48,42,30.8,72.9,6.3,144.0,53,cotton
28,34,24,22.4,88.1,5.8,186.8,79,pulses
68,51,61,28.4,86.1,6.3,218.8,85,sugarcane
70,55,43,21.0,69.9,6.9,127.5,47,maize
75,34,61,25.5,70.4,6.6,144.2,69,groundnut
30,31,30,23.8,82.0,5.8,180.9,80,pulses
66,31,60,26.3,72.7,6.6,162.1,70,groundnut
66,40,53,27.2,85.7,6.7,222.1,70,sugarcane
98,46,51,24.9,81.2,6.4,216.1,70,rice
53,45,50,28.2,69.0,6.3,159.4,51,cotton
37,52,47,28.8,53.3,6.2,92.3,35,millet
26,34,24,22.9,88.6,5.8,217.2,79,pulses
79,55,51,29.6,82.0,6.9,225.5,81,sugarcane
67,39,55,29.1,78.1,6.7,176.4,65,groundnut
39,51,53,28.5,58.2,6.4,95.1,27,millet
72,30,64,26.4,78.5,6.5,179.0,65,groundnut
46,37,39,28.8,58.6,5.5,86.7,30,barley
50,32,33,27.1,57.9,5.5,82.8,32,barley
56,46,44,27.2,71.7,6.5,179.7,51,cotton
87,56,42,22.8,78.5,7.0,172.1,56,maize
60,42,47,29.7,73.8,6.2,125.8,64,cotton
73,59,41,23.3,77.7,7.0,175.6,46,maize
65,45,41,24.6,62.5,6.8,116.4,37,wheat
56,40,47,31.2,66.5,6.4,136.6,59,cotton
88,54,36,23.7,70.2,6.7,175.6,46,maize
51,40,41,32.0,68.5,6.7,123.9,63,cotton
44,48,50,30.2,57.9,6.4,115.2,28,millet
55,43,48,29.2,69.8,6.6,152.1,53,cotton
53,33,31,26.3,56.6,6.1,90.4,27,barley
65,42,59,25.9,70.2,6.7,202.2,76,sugarcane
68,35,56,27.0,73.4,6.8,179.4,61,groundnut
40,45,48,29.7,57.1,6.4,104.1,27,millet
79,52,52,26.3,72.2,6.8,297.7,85,sugarcane
57,46,45,23.4,59.3,6.5,140.3,37,wheat
65,39,65,29.4,75.3,6.7,178.2,64,groundnut
52,56,40,26.6,58.9,6.9,116.7,35,wheat
66,45,56,25.1,76.6,6.7,272.6,77,sugarcane
85,55,36,23.5,76.8,6.7,153.2,52,maize
51,30,30,28.2,58.7,5.7,90.9,31,barley
87,51,58,23.7,86.3,6.6,230.1,64,rice
82,53,39,24.6,77.8,6.9,130.7,49,maize
77,52,35,23.3,74.8,7.0,152.8,55,maize
21,28,21,22.0,88.2,6.1,191.9,80,pulses
20,25,27,24.1,85.9,5.9,185.8,65,pulses
36,47,45,28.8,53.0,6.0,98.5,28,millet
72,34,61,27.6,75.7,6.9,143.0,67,groundnut
55,35,40,25.2,55.9,6.1,111.5,33,barley
54,54,41,25.0,59.0,7.0,106.9,41,wheat
56,44,40,29.1,72.1,6.6,139.3,53,cotton
51,35,30,27.0,59.0,5.5,88.1,35,barley
51,49,48,27.6,57.5,7.0,133.9,35,wheat
83,56,45,23.0,66.6,6.8,185.9,50,maize
71,52,35,24.1,66.5,6.7,180.7,50,maize
69,34,57,29.9,70.5,6.9,163.1,57,groundnut
35,50,50,29.3,60.0,6.0,80.0,27,millet
57,43,44,28.9,69.6,6.5,122.7,65,cotton
50,36,31,25.7,61.4,6.0,119.2,26,barley
98,43,44,21.2,85.9,6.7,232.2,71,rice
46,35,36,29.3,61.9,6.1,95.6,33,barley
53,39,31,28.5,62.7,6.1,90.9,29,barley
66,52,63,25.8,70.4,6.6,272.9,71,sugarcane
80,55,58,24.0,88.4,6.3,220.9,70,rice
64,53,44,25.6,55.7,7.0,116.7,41,wheat
51,40,40,31.1,68.1,6.4,136.9,59,cotton
48,39,30,25.7,64.2,6.0,111.9,26,barley
44,45,52,29.8,54.4,6.2,88.1,31,millet
52,55,48,25.1,67.7,6.7,148.6,42,wheat
46,31,30,25.3,62.8,5.6,108.1,31,barley
73,55,44,24.6,75.7,6.6,199.4,45,maize
80,47,50,26.1,74.0,6.4,262.1,79,sugarcane
86,59,39,25.4,73.1,6.7,130.6,48,maize
70,54,65,29.0,76.5,6.6,253.8,81,sugarcane
82,54,42,21.2,77.0,6.8,195.3,53,maize
79,53,52,26.9,78.5,6.4,289.5,70,sugarcane
68,53,57,27.9,71.6,6.8,242.1,75,sugarcane
44,48,48,31.0,57.4,6.3,80.6,25,millet
73,40,63,28.9,77.1,6.8,293.1,75,sugarcane
67,54,50,27.3,82.3,6.5,241.7,78,sugarcane
66,32,55,27.5,75.4,7.0,169.6,70,groundnut
68,45,54,26.5,87.6,6.7,226.9,74,sugarcane
67,33,58,28.4,73.9,6.6,144.0,69,groundnut
91,60,48,21.4,76.7,6.6,208.4,68,rice
70,43,57,27.1,78.1,6.7,249.8,80,sugarcane
54,39,31,28.5,63.2,5.7,101.8,34,barley
21,31,24,25.9,84.7,5.7,188.8,79,pulses
74,46,64,28.7,78.9,6.7,250.9,81,sugarcane
25,25,25,23.1,86.9,5.8,227.9,75,pulses
61,54,47,22.3,56.7,6.9,146.1,43,wheat
58,42,45,30.7,70.4,6.5,122.6,62,cotton
66,35,62,29.7,76.0,6.5,141.8,65,groundnut
55,40,45,30.9,70.0,6.5,161.2,58,cotton
59,47,42,30.1,73.6,6.8,121.8,55,cotton
66,46,49,25.1,60.0,7.1,104.9,42,wheat
72,40,58,29.4,76.1,6.6,179.3,60,groundnut
96,57,46,25.0,88.3,6.2,181.6,68,rice
86,58,36,24.6,68.0,6.7,194.7,49,maize
23,31,23,23.5,82.4,5.9,220.9,72,pulses
63,51,46,23.8,66.5,7.2,149.2,38,wheat
59,49,49,22.7,64.0,7.2,118.5,36,wheat
20,31,20,25.2,82.3,5.8,216.5,79,pulses
77,48,57,28.2,75.3,6.6,238.5,75,sugarcane
79,55,39,24.0,71.1,6.9,193.1,48,maize
43,50,48,28.1,50.3,6.3,99.2,31,millet
45,36,30,28.3,55.5,6.2,89.8,29,barley
80,59,41,25.0,65.3,6.6,141.3,59,maize
23,28,25,22.2,84.7,5.7,197.2,70,pulses
40,52,50,28.6,54.4,6.2,108.5,25,millet
80,60,45,22.2,68.6,6.6,178.7,57,maize
60,50,46,27.8,67.1,6.6,163.9,52,cotton
61,47,40,25.1,69.9,6.9,120.1,45,wheat
50,49,41,30.7,69.4,6.3,148.8,58,cotton
90,58,40,21.1,78.7,6.2,214.3,67,rice
42,45,46,31.3,59.8,6.1,87.4,27,millet
58,46,50,31.3,74.5,6.6,170.5,59,cotton
65,50,48,26.2,55.4,6.7,130.4,36,wheat
58,50,46,28.1,73.7,6.7,151.8,50,cotton
89,45,50,23.7,89.5,6.3,218.8,70,rice
68,38,63,27.8,71.3,6.7,150.8,67,groundnut
60,43,46,31.6,74.5,6.7,124.9,65,cotton
25,31,21,22.3,81.0,5.6,229.4,73,pulses
23,28,29,24.2,83.7,5.7,182.5,65,pulses
81,59,43,22.6,61.7,6.5,122.9,49,maize
23,35,27,23.0,81.6,5.5,219.9,76,pulses
82,54,40,24.9,64.6,6.5,158.9,54,maize
20,31,27,25.6,86.8,5.5,203.3,78,pulses
90,60,41,24.1,83.0,6.2,184.1,76,rice
39,47,55,30.5,56.4,6.2,99.1,26,millet
23,30,28,24.6,88.2,5.7,222.8,80,pulses
39,55,47,31.0,54.2,6.4,95.6,29,millet
74,52,42,23.1,65.9,6.5,150.0,55,maize
70,38,58,29.3,72.1,6.6,143.1,69,groundnut
23,28,27,23.4,88.5,5.8,182.3,79,pulses
65,35,59,27.5,75.3,6.8,172.3,57,groundnut
100,47,49,22.0,85.0,6.4,202.1,71,rice
50,33,30,26.7,57.8,5.9,89.4,27,barley
43,49,50,29.1,52.5,6.0,94.8,28,millet
71,44,60,27.5,78.0,6.8,211.3,70,sugarcane
65,36,63,26.4,73.7,7.0,158.7,57,groundnut
97,42,58,22.1,89.4,6.3,245.7,76,rice
56,57,49,27.0,64.9,6.5,109.4,37,wheat
95,51,52,22.8,82.4,6.2,244.7,64,rice
69,57,50,25.2,60.1,7.0,124.5,43,wheat
66,34,59,26.2,72.0,6.9,172.9,66,groundnut
85,41,53,20.9,89.0,6.3,219.8,68,rice
72,30,57,25.6,71.9,6.8,150.4,67,groundnut
69,48,48,25.4,66.2,6.9,103.0,36,wheat
86,57,47,20.8,84.8,6.1,242.4,72,rice
58,52,50,27.1,60.7,6.6,147.3,37,wheat
54,50,41,30.0,72.0,6.6,142.8,51,cotton
53,42,48,28.8,68.2,6.3,172.7,62,cotton
74,52,58,27.0,76.7,6.6,278.6,85,sugarcane
65,47,40,24.9,69.7,7.2,137.4,37,wheat
83,45,59,23.4,83.9,6.0,189.8,74,rice
65,46,48,27.8,62.2,7.0,145.1,37,wheat
54,48,40,30.5,74.2,6.5,126.4,58,cotton
52,34,39,28.4,60.6,5.8,92.5,25,barley
80,58,58,24.3,84.5,6.6,226.0,79,rice
78,48,53,29.3,71.1,6.9,262.2,72,sugarcane
22,27,20,22.7,86.1,5.6,207.5,65,pulses
74,59,43,25.1,62.3,6.6,125.9,54,maize
70,35,63,27.0,78.6,6.8,170.4,56,groundnut
27,30,20,22.8,88.9,6.0,232.6,67,pulses
69,31,56,28.1,77.8,6.8,173.6,55,groundnut
63,47,49,24.6,65.6,6.7,117.8,38,wheat
53,31,36,25.2,61.1,6.1,83.7,30,barley
75,35,55,27.8,77.0,6.5,155.5,57,groundnut
46,33,31,27.5,55.1,6.1,117.9,29,barley
48,32,36,25.4,59.4,6.1,117.9,34,barley
65,50,58,25.9,76.3,6.6,295.1,82,sugarcane
73,38,64,27.0,75.3,7.0,170.5,58,groundnut
24,34,27,23.6,84.6,5.7,249.4,76,pulses
71,59,35,24.3,75.1,7.0,149.0,47,maize
36,48,50,30.5,51.6,6.1,102.2,35,millet
45,37,40,27.9,62.3,5.8,90.8,25,barley
35,45,53,31.8,56.1,6.3,119.6,28,millet
66,49,40,23.2,56.0,6.5,103.3,35,wheat
51,38,30,29.2,59.3,6.0,106.4,30,barley
41,51,45,29.7,54.6,6.0,96.9,35,millet
60,45,42,29.0,72.9,6.3,157.0,63,cotton
52,37,31,29.1,63.2,5.8,108.2,30,barley
49,30,39,25.0,61.0,5.7,90.0,34,barley
99,58,60,23.0,82.4,6.6,193.2,63,rice
80,60,55,24.4,79.7,6.1,244.1,78,rice
29,30,23,23.5,85.0,5.7,245.2,75,pulses
77,52,59,28.6,79.8,6.9,259.8,74,sugarcane
81,46,54,22.4,85.3,6.5,182.5,78,rice
69,36,61,26.7,79.0,6.9,170.4,69,groundnut
41,51,45,31.8,59.6,6.3,110.3,35,millet
66,47,60,28.0,85.9,6.7,267.8,85,sugarcane
92,54,56,24.3,86.5,6.1,198.5,60,rice
39,51,50,28.7,53.4,6.0,110.4,25,millet
75,55,37,25.5,70.0,6.9,183.4,53,maize
45,46,52,31.5,53.2,6.1,92.0,33,millet
98,43,44,24.6,84.1,6.2,238.7,63,rice
72,31,60,29.1,71.6,7.0,140.7,65,groundnut
74,55,35,25.6,66.5,6.5,146.4,52,maize
88,50,56,22.0,83.4,6.5,212.0,69,rice
41,46,47,28.3,51.1,6.4,111.7,32,millet
69,40,55,27.9,83.8,6.3,201.5,80,sugarcane
66,45,48,27.9,59.6,7.2,145.9,43,wheat
69,34,62,27.6,74.8,6.9,164.0,64,groundnut
65,58,42,26.3,62.9,6.7,124.9,36,wheat
52,48,41,24.8,69.9,6.8,146.3,45,wheat
25,26,29,25.7,89.5,5.7,245.2,75,pulses
38,49,54,31.7,56.6,6.1,86.3,25,millet
70,57,44,22.0,75.4,6.6,163.6,45,maize
60,48,45,28.7,67.4,6.4,148.0,51,cotton
55,34,40,27.4,63.9,5.7,95.3,28,barley
53,39,36,26.9,62.2,5.6,89.6,34,barley
22,31,27,23.6,82.8,5.9,228.0,73,pulses
76,42,61,25.2,82.6,6.5,262.2,81,sugarcane
74,32,57,29.1,77.6,6.6,151.4,61,groundnut
67,40,57,25.1,81.7,6.7,277.3,83,sugarcane
41,48,53,30.5,55.0,6.2,88.5,32,millet
27,32,20,23.9,89.2,6.1,201.3,69,pulses
53,30,39,26.0,59.2,6.1,117.3,28,barley
87,52,58,24.7,77.4,6.5,219.1,65,rice
41,55,45,29.8,58.8,6.5,101.6,31,millet
67,37,61,27.4,76.6,7.0,179.3,65,groundnut
57,57,49,22.2,56.0,7.0,137.7,44,wheat
65,52,61,28.8,78.2,6.6,220.4,85,sugarcane
69,45,58,29.7,81.0,6.6,291.2,82,sugarcane
99,46,51,20.6,84.1,6.1,207.4,80,rice
54,36,31,26.6,58.6,5.8,111.1,33,barley
44,54,53,29.8,53.4,6.4,85.9,27,millet
38,49,48,30.4,57.0,6.0,105.0,29,millet
30,27,28,24.9,80.6,6.0,208.0,67,pulses
60,58,47,22.1,69.4,7.1,130.3,45,wheat
51,35,31,29.1,58.5,6.2,90.0,34,barley
28,33,29,25.2,84.8,6.2,203.6,68,pulses
93,41,60,24.0,79.6,6.2,185.2,68,rice
67,40,55,26.4,76.6,6.9,153.9,64,groundnut
50,49,50,28.5,67.3,6.3,161.6,58,cotton
24,32,21,24.3,85.3,5.9,223.4,68,pulses
27,34,22,22.5,89.8,5.6,224.1,66,pulses
92,54,45,22.1,80.5,6.5,190.9,76,rice
57,50,50,22.4,67.1,7.0,114.4,41,wheat
59,46,42,30.0,72.6,6.5,169.7,53,cotton
72,51,61,28.3,77.2,6.7,296.6,72,sugarcane
46,30,33,29.1,62.0,6.2,82.5,29,barley
85,52,47,24.4,76.1,6.6,206.3,65,rice
30,33,20,23.5,88.8,5.7,233.5,79,pulses
44,49,45,31.4,52.0,6.3,113.7,32,millet
50,40,37,29.5,58.5,6.0,104.5,35,barley
27,34,24,22.5,83.5,5.6,244.5,67,pulses
45,48,52,29.7,58.3,6.1,90.7,32,millet
73,39,61,26.2,76.8,6.5,141.7,68,groundnut
37,50,49,28.7,51.3,6.3,89.7,25,millet
81,59,38,25.3,66.9,6.8,138.4,52,maize
75,40,57,26.4,83.5,6.3,268.1,83,sugarcane
90,57,55,24.5,84.2,6.7,218.2,76,rice
48,35,38,27.8,55.3,5.7,89.7,25,barley
39,52,53,31.9,53.5,6.4,113.1,29,millet
74,44,60,25.8,73.7,6.8,251.1,70,sugarcane
87,45,40,22.4,78.0,6.7,205.9,67,rice
68,48,49,26.0,66.1,6.7,107.6,39,wheat
46,39,34,27.9,63.0,6.1,84.4,25,barley
20,28,26,22.4,85.7,6.1,201.2,70,pulses
77,50,54,27.6,74.6,6.7,214.1,76,sugarcane
70,52,53,28.7,86.6,6.6,236.7,76,sugarcane
66,56,50,25.8,56.7,6.9,136.1,42,wheat
52,49,48,29.0,70.0,6.3,130.8,59,cotton
71,49,58,27.3,83.9,6.9,204.5,82,sugarcane
38,54,55,29.2,50.2,6.3,99.0,33,millet
53,57,40,24.1,59.0,7.2,148.1,38,wheat
60,53,50,26.5,62.6,7.1,148.8,42,wheat
51,36,35,29.5,57.3,6.2,94.2,30,barley
71,35,56,28.8,75.1,6.6,167.8,69,groundnut
46,36,30,25.6,59.3,6.1,92.2,34,barley
88,54,43,23.9,64.5,6.7,163.8,56,maize
54,36,34,27.2,57.9,5.7,97.4,32,barley
65,44,61,25.3,73.9,6.3,234.9,70,sugarcane
51,47,49,29.8,65.5,6.6,127.9,55,cotton
47,31,40,29.6,58.6,5.7,95.7,33,barley
37,48,54,30.3,52.7,6.3,86.5,25,millet
68,33,58,25.6,70.6,6.7,166.6,60,groundnut
54,33,37,25.8,56.8,5.8,89.0,33,barley
72,32,58,26.4,74.3,6.5,172.6,59,groundnut
66,48,61,25.2,82.1,6.9,201.9,85,sugarcane
89,60,42,25.8,69.0,7.0,164.6,56,maize
67,47,43,25.9,69.8,7.1,145.7,37,wheat
72,54,54,25.5,85.0,6.6,219.1,73,sugarcane
21,27,24,22.2,88.0,6.1,211.8,69,pulses
47,31,35,28.2,55.6,5.9,119.8,30,barley
72,52,43,21.1,67.9,6.6,142.7,59,maize
75,46,65,26.3,75.7,6.7,214.6,71,sugarcane
40,47,52,31.1,50.6,6.3,89.6,30,millet
99,52,41,20.8,85.7,6.0,238.9,74,rice
52,43,46,29.3,70.1,6.6,121.2,61,cotton
58,46,48,30.7,68.2,6.3,151.5,61,cotton
56,47,48,22.6,64.8,6.7,108.0,37,wheat
67,31,55,25.1,74.8,6.5,169.3,56,groundnut
68,40,54,25.2,88.2,6.3,274.2,82,sugarcane
43,52,50,28.3,52.4,6.2,84.4,29,millet
46,40,34,30.0,61.5,6.0,108.2,30,barley
65,38,63,27.5,78.4,6.5,146.3,59,groundnut
76,53,57,30.0,87.6,6.6,213.7,85,sugarcane
52,30,30,26.5,61.1,6.0,91.1,33,barley
70,45,64,27.9,78.5,6.9,234.3,84,sugarcane
29,33,24,24.1,80.5,6.0,221.9,75,pulses
91,51,52,20.8,83.0,6.4,194.9,79,rice
